Row Labels,MOVIE
tm10,1
tm1000095,1
tm100035,1
tm100049,1
tm100058,1
tm1000681,1
tm100098,1
tm1001483,1
tm1002386,1
tm1005150,1
tm100656,1
tm100704,1
tm100859,1
tm101053,1
tm101073,1
tm10112,1
tm101146,1
tm101190,1
tm101263,1
tm101272,1
tm101387,1
tm101406,1
tm101429,1
tm1015890,1
tm101596,1
tm101597,1
tm101621,1
tm1016332,1
tm101680,1
tm1017409,1
tm1018179,1
tm1018180,1
tm101890,1
tm1019345,1
tm1019871,1
tm1020165,1
tm102067,1
tm102091,1
tm102092,1
tm102106,1
tm102257,1
tm102269,1
tm1023082,1
tm102337,1
tm102394,1
tm1023985,1
tm102440,1
tm102441,1
tm102502,1
tm10254,1
tm102621,1
tm102701,1
tm10274,1
tm102776,1
tm102887,1
tm1029297,1
tm102938,1
tm102966,1
tm103037,1
tm1031132,1
tm1031271,1
tm10313,1
tm1031648,1
tm103227,1
tm103236,1
tm1032543,1
tm103259,1
tm1033249,1
tm1035228,1
tm1035252,1
tm103554,1
tm1036562,1
tm1036591,1
tm103694,1
tm103706,1
tm1037456,1
tm1037532,1
tm1037834,1
tm1038183,1
tm1038253,1
tm103877,1
tm1038789,1
tm10388,1
tm1039684,1
tm1041075,1
tm104131,1
tm1042072,1
tm104229,1
tm1042385,1
tm104339,1
tm1043724,1
tm1044068,1
tm1045140,1
tm1045387,1
tm1045743,1
tm1045774,1
tm1045875,1
tm10466,1
tm1046744,1
tm1047284,1
tm1048591,1
tm1048631,1
tm1048640,1
tm1048645,1
tm1048659,1
tm1048663,1
tm104883,1
tm104934,1
tm105027,1
tm105040,1
tm105088,1
tm105127,1
tm105203,1
tm105233,1
tm1055,1
tm105539,1
tm105641,1
tm1057195,1
tm105881,1
tm105967,1
tm105976,1
tm1059945,1
tm106126,1
tm106134,1
tm106238,1
tm1062872,1
tm106289,1
tm1063493,1
tm106357,1
tm1065494,1
tm1065739,1
tm1065887,1
tm1066107,1
tm1067128,1
tm10672,1
tm106814,1
tm1069463,1
tm1069971,1
tm1072577,1
tm10732,1
tm1073248,1
tm107359,1
tm107415,1
tm1074889,1
tm1075118,1
tm1076044,1
tm1076487,1
tm1076560,1
tm1076639,1
tm1077020,1
tm107754,1
tm107842,1
tm107901,1
tm1079301,1
tm1080107,1
tm108160,1
tm108185,1
tm1082029,1
tm1082045,1
tm1082305,1
tm108242,1
tm1082718,1
tm108290,1
tm1082932,1
tm108302,1
tm108332,1
tm108434,1
tm108542,1
tm1085585,1
tm108603,1
tm108747,1
tm108804,1
tm1088379,1
tm108984,1
tm109142,1
tm109185,1
tm109186,1
tm109203,1
tm10921,1
tm1092649,1
